code,description
EDU_audd_2953,"Amu.baj., tekniske installationer"
EDU_audd_2954,"Amu.baj., teknikere sala-jordbrug"
EDU_audd_2955,"Amu.baj., isoleringsfaget"
EDU_audd_2956,"Amu.baj., asfaltbranchen"
EDU_audd_2957,"Amu.baj., entreprenører"
EDU_audd_2958,"Amu.baj., byggeri og energi"
EDU_audd_2959,"Amu.baj., skorstensfejer"
EDU_audd_2960,"Amu.baj., vvs-branchen"
EDU_audd_2961,"Amu.baj., jordbrugets euu"
EDU_audd_2962,"Amu.bai., fugearbejde med fleksible fugematerialer"
EDU_audd_2969,"Amu.htf., lederuddannelse"
EDU_audd_2970,"Amu.htf., reklamebranchen"
EDU_audd_2971,"Amu.htf., filmoperatør"
EDU_audd_2972,"Amu.htf., bager og konditor"
EDU_audd_2973,"Amu.htf., handel og service"
EDU_audd_2974,"Amu.htf., optikerfaget"
EDU_audd_2975,"Amu.htf., urmagerfaget"
EDU_audd_2976,"Amu.htf., frisør og kosmetik"
EDU_audd_2977,"Amu.htf., tandteknikerfag"
EDU_audd_2978,"Amu.htf., erhvervsfiskere"
EDU_audd_2979,"Amu.htf., køkken og hotel mv"
EDU_audd_2980,"Amu.htf., finanssektor"
EDU_audd_2981,"Amu.htf., pressefotograf"
EDU_audd_2982,"Amu.htf., transport og logistik"
EDU_audd_2983,"Amu.htf., serviceerhverv"
EDU_audd_2984,"Amu.htf., handel og kontor"
EDU_audd_2985,"Amu.htf., vaskeriindustri"
EDU_audd_2986,"Amu.htf., teaterteknik"
EDU_audd_299,AMU una
EDU_audd_2990,"Amu.off., social og sundhed"
EDU_audd_2991,"Amu.off., statslige uddannelser euu"
EDU_audd_2992,"Amu.off., pædagogisk euu"
EDU_audd_300,"Erhvervsfaglige uddannelse una, ivu"
EDU_audd_3000,"Bioteknologi, cand.polyt."
EDU_audd_3001,"Digital design og interaktive teknologier, cand.it."
EDU_audd_3002,"Indoeuropæisk, mag.art."
EDU_audd_3003,"Internat.virksomhedsk, Interkult. markedsstud,cand.ling.merc."
EDU_audd_3004,"Internat. virksomhedskomm., Amerikanske studier, cand.ling.merc."
EDU_audd_3005,"Internat. virksomhedskomm., Europæiske studier, cand.ling.merc."
EDU_audd_3006,"International virksomhedskommunikation i arabisk, bach."
EDU_audd_3007,"International virksomhedskommunikation i engelsk, bach."
EDU_audd_3008,"Internat. virksomhedskommunik., engelsk-it-webkomm.,bach."
EDU_audd_3009,"Internat. virksomhedskommunik., spansk og medier, bach."
EDU_audd_3010,"International virksomhedskommunikation i spansk, bach."
EDU_audd_3011,"Internat. virksomhedskommunik., tysk og medier, bach."
EDU_audd_3012,"International virksomhedskommunikation tysk, bach."
EDU_audd_3013,"Internat. virksomhedskommunikation, engelsk og IT, bach."
EDU_audd_3014,"International virksomhedskommunikation i fransk, bach."
EDU_audd_3015,"Internat. virksomhedskommunikation, spansk og IT, bach."
EDU_audd_3016,"Internat. virksomhedskommunikation, tysk og IT, bach."
EDU_audd_3017,"International virksomhedskommunikation, sproglig og kulturel formidling, bach."
