code,description
LAB_disco_3230,Assisterende arbejde inden for naturmedicin og alternativ behandling
LAB_disco_3240,Assisterende veterinærarbejde og veterinærteknisk arbejde
LAB_disco_3251,Arbejde med tandpleje
LAB_disco_3252,Teknikerarbejde inden for medicinsk registrering og sundhedsinformation
LAB_disco_3253,Assisterende sundhedsarbejde ved lokale/akutte behandlingscentre
LAB_disco_3254,Teknikerarbejde inden for fremstilling af synshjælpemidler
LAB_disco_3255,Assisterende arbejde inden for fysioterapi
LAB_disco_3256,Assisterende arbejde inden for sundhedsområdet
LAB_disco_3257,Arbejde med kontrol af arbejdsmiljø og sikkerhed
LAB_disco_3258,Redningsarbejde (Ambulancebehandler)
LAB_disco_3259,Tekniker- og assistentarbejde inden for sundhedsområdet ikke klassificeret andetsteds
LAB_disco_3311,Arbejde med omsætning af værdipapirer og valuta
LAB_disco_3312,Arbejde med kredit- og långivning
LAB_disco_3313,Regnskabsarbejde
LAB_disco_3314,Arbejde med statistik og matematik
LAB_disco_3315,Vurderings- og takseringsarbejde
LAB_disco_3321,Forsikringsarbejde
LAB_disco_3322,Salgsarbejde (agenter)
LAB_disco_3323,Indkøbsarbejde (agenter)
LAB_disco_3324,Erhvervsmæglerarbejde
LAB_disco_3331,Speditørarbejde
LAB_disco_3332,Konference- og eventplanlægning
LAB_disco_3333,Jobformidling
LAB_disco_3334,Ejendomsmægler- og ejendomsadministratorarbejde
LAB_disco_3339,Andet arbejde inden for forretningsservice
LAB_disco_3341,Kontorlederarbejde
LAB_disco_3342,Advokatsekretærarbejde
LAB_disco_3343,Chef- og direktionssekretærarbejde
LAB_disco_3344,Lægesekretærarbejde
LAB_disco_3351,Told- og grænsebetjentarbejde
LAB_disco_3352,Administration af skatte- og afgiftslovgivning
LAB_disco_3353,Formidling af offentlige ydelser
LAB_disco_3354,"Udstedelse af pas, kørekort o.l."
LAB_disco_3355,Politimæssigt undersøgelsesarbejde
LAB_disco_3359,Andet arbejde med forvaltning og udøvelse af lovgivning
LAB_disco_3411,Juridisk arbejde på mellemniveau
LAB_disco_3412,Social rådgivningsarbejde på mellemniveau
LAB_disco_3413,Arbejde med tilknytning til religion på mellemniveau
LAB_disco_3421,Sportsudøvere
LAB_disco_3422,"Træner-, instruktør- og dommerarbejde inden for sport"
LAB_disco_3423,Instruktørarbejde inden for fitness og beslægtede områder
LAB_disco_3431,Fotografarbejde
LAB_disco_3432,Indretningsarkitekt- og dekoratørarbejde
LAB_disco_3433,"Galleri-, museums- og biblioteksteknikerarbejde"
LAB_disco_3434,Køkkenchefarbejde
LAB_disco_3435,"Andet arbejde inden for kunstneriske, kulturelle og kulinariske områder"
LAB_disco_3511,Driftsteknikerarbejde inden for informations- og kommunikationsteknologi
LAB_disco_3512,Brugersupportarbejde inden for informations- og kommunikationsteknologi
LAB_disco_3513,Netværks- og systemteknikerarbejde inden for informations- og kommunikationsteknologi
LAB_disco_3514,Internetteknikerarbejde
LAB_disco_3521,Teknikerarbejde inden for audiovisuelle medier
LAB_disco_3522,Teknikerarbejde inden for telekommunikation
LAB_disco_4110,Almindeligt kontorarbejde
LAB_disco_4120,Almindeligt sekretærarbejde
LAB_disco_4131,Tekstbehandlingsarbejde
LAB_disco_4132,Dataregistreringsarbejde
LAB_disco_4211,Kundebetjening og kassererarbejde i pengeinstitutter
LAB_disco_4212,Bookmaker- og croupierarbejde samt beslægtede funktioner
LAB_disco_4213,Pantelånerarbejde og beslægtede funktioner
LAB_disco_4214,Inkassatorarbejde og beslægtede funktioner
LAB_disco_4221,Rejsebureauarbejde
LAB_disco_4222,Informationsarbejde på kundekontaktcentre
LAB_disco_4223,Telefonomstillingsarbejde
LAB_disco_4224,Hotelreceptionistarbejde
LAB_disco_4225,Oplysnings- og forespørgselsarbejde
LAB_disco_4226,"Almindeligt receptionistarbejde, ekskl. hotelreceptionistarbejde"
LAB_disco_4227,Interviewarbejde inden for markedsundersøgelse
LAB_disco_4229,Andet kundeinformationsarbejde
