code,prefix,database,value,description,description_da,description_en,source,confidence,language,parent_code,hierarchy_level
SOC_frakkod_50,SOC,frakkod,50,Kørselsforbud inden for 2 til 3 år i medf. af færdsl. § 126 stk. 4 (ny fra 2002),Kørselsforbud inden for 2 til 3 år i medf. af færdsl. § 126 stk. 4 (ny fra 2002),,raw_soc_frakkod,medium,danish,,
SOC_frakkod_BF,SOC,frakkod,BF,Betinget førerretsfrakendelse i medf. af færdsl. § 125 stk. 1 nr. 3 jf. stk. 4. Hastidhedsoverskridelse på mere end 40% i de § 43 og § 86 nævnte køretøjer eller ved slæbning(tidl.84),Betinget førerretsfrakendelse i medf. af færdsl. § 125 stk. 1 nr. 3 jf. stk. 4. Hastidhedsoverskridelse på mere end 40% i de § 43 og § 86 nævnte køretøjer eller ved slæbning(tidl.84),,raw_soc_frakkod,medium,danish,,
SOC_frakkod_76,SOC,frakkod,76,"Kørselsforbud pga.2 klip indenfor 3 år osv. pga. 3 klip, i medf. af færdsl. § 125 stk. 2 jf. stk. 3 jf. § 127.","Kørselsforbud pga.2 klip indenfor 3 år osv. pga. 3 klip, i medf. af færdsl. § 125 stk. 2 jf. stk. 3 jf. § 127.",,raw_soc_frakkod,medium,danish,,
SOC_frakkod_LO,SOC,frakkod,LO,"Ubetinget frakendelse af retten til at føre lille knallert jf. færdsl. § 129, stk. 3, nr. 2","Ubetinget frakendelse af retten til at føre lille knallert jf. færdsl. § 129, stk. 3, nr. 2",,raw_soc_frakkod,medium,danish,,
SOC_frakkod_LE,SOC,frakkod,LE,"Betinget frakendelse af retten til at føre lille knallert jf. færdsl. § 129, stk. 1, nr. 5","Betinget frakendelse af retten til at føre lille knallert jf. færdsl. § 129, stk. 1, nr. 5",,raw_soc_frakkod,medium,danish,,
SOC_frakkod_65,SOC,frakkod,65,Førerretsfrakendelse i medf. af færdsl. § 126 stk. 1 nr. 6 jf. § 128. Se kode 44,Førerretsfrakendelse i medf. af færdsl. § 126 stk. 1 nr. 6 jf. § 128. Se kode 44,,raw_soc_frakkod,medium,danish,,
SOC_frakkod_LR,SOC,frakkod,LR,"Ubetinget frakendelse af retten til at føre lille knallert jf. færdsl. § 129, stk. 3, nr. 5","Ubetinget frakendelse af retten til at føre lille knallert jf. færdsl. § 129, stk. 3, nr. 5",,raw_soc_frakkod,medium,danish,,
SOC_frakkod_VK,SOC,frakkod,VK,Førerretsfrakendelse jf. færdsl. § 126 stk. 1 nr. 11 jf. § 128,Førerretsfrakendelse jf. færdsl. § 126 stk. 1 nr. 11 jf. § 128,,raw_soc_frakkod,medium,danish,,
SOC_frakkod_FC,SOC,frakkod,FC,Forbud i medfør af straffelovens § 236. Startdato 01-07-2018,Forbud i medfør af straffelovens § 236. Startdato 01-07-2018,,raw_soc_frakkod,medium,danish,,
SOC_frakkod_VA,SOC,frakkod,VA,Førerretsfrakendelse jf. færdsl. § 126 stk. 1 nr. 11,Førerretsfrakendelse jf. færdsl. § 126 stk. 1 nr. 11,,raw_soc_frakkod,medium,danish,,
SOC_frakkod_UY,SOC,frakkod,UY,"Førerretsfrakendelse jf. færdsl. § 126, stk. 1, nr. 9, jf. § 125, stk. 2","Førerretsfrakendelse jf. færdsl. § 126, stk. 1, nr. 9, jf. § 125, stk. 2",,raw_soc_frakkod,medium,danish,,
SOC_frakkod_UT,SOC,frakkod,UT,"Førerretsfrakendelse jf. færdsl. § 126, stk. 1, nr. 9, jf. § 128","Førerretsfrakendelse jf. færdsl. § 126, stk. 1, nr. 9, jf. § 128",,raw_soc_frakkod,medium,danish,,
SOC_frakkod_BC,SOC,frakkod,BC,"Betinget førerretsfrakendelse jf. færdsl. § 126, stk. 2","Betinget førerretsfrakendelse jf. færdsl. § 126, stk. 2",,raw_soc_frakkod,medium,danish,,
SOC_frakkod_84,SOC,frakkod,84,Betinget førerretskendelse i medfør af færdselslovens § 125 stk. 1 nr. 3 jf. stk. 4. Se kode 54,Betinget førerretskendelse i medfør af færdselslovens § 125 stk. 1 nr. 3 jf. stk. 4. Se kode 54,,raw_soc_frakkod,medium,danish,,
SOC_frakkod_30,SOC,frakkod,30,(Udgået)Advarsel i medfør af straffelovens § 265,(Udgået)Advarsel i medfør af straffelovens § 265,,raw_soc_frakkod,medium,danish,,
SOC_frakkod_LA,SOC,frakkod,LA,"Betinget frakendelse af retten til at føre lille knallert jf. færdsl. § 129, stk. 1, nr. 1","Betinget frakendelse af retten til at føre lille knallert jf. færdsl. § 129, stk. 1, nr. 1",,raw_soc_frakkod,medium,danish,,
SOC_frakkod_WF,SOC,frakkod,WF,Førerretsfrakendelse jf. færdsl. § 126 stk. 1 nr. 6 jf. § 125 stk. 2,Førerretsfrakendelse jf. færdsl. § 126 stk. 1 nr. 6 jf. § 125 stk. 2,,raw_soc_frakkod,medium,danish,,
SOC_frakkod_40,SOC,frakkod,40,Bortvisning i henhold til bortvisningslov,Bortvisning i henhold til bortvisningslov,,raw_soc_frakkod,medium,danish,,
SOC_frakkod_87,SOC,frakkod,87,Betinget førerretsfrakendelse i medf. af færdsl. § 125 stk. 1 nr. 8 jf. stk. 4. Se kode 57,Betinget førerretsfrakendelse i medf. af færdsl. § 125 stk. 1 nr. 8 jf. stk. 4. Se kode 57,,raw_soc_frakkod,medium,danish,,
SOC_frakkod_VD,SOC,frakkod,VD,Førerretsfrakendelse jf. færdsl. § 126 stk. 1 nr. 4 jf. § 128,Førerretsfrakendelse jf. færdsl. § 126 stk. 1 nr. 4 jf. § 128,,raw_soc_frakkod,medium,danish,,
SOC_frakkod_LT,SOC,frakkod,LT,"Ubetinget frakendelse af retten til at føre lille knallert jf. færdsl. § 129, stk. 3, nr. 7","Ubetinget frakendelse af retten til at føre lille knallert jf. færdsl. § 129, stk. 3, nr. 7",,raw_soc_frakkod,medium,danish,,
SOC_frakkod_02,SOC,frakkod,02,"Frakendelse af kørekort i medfør af færdselslovens § 126, stk. 2, nr. 1, jf. § 127. Gældende til 150599","Frakendelse af kørekort i medfør af færdselslovens § 126, stk. 2, nr. 1, jf. § 127. Gældende til 150599",,raw_soc_frakkod,medium,danish,,
SOC_frakkod_06,SOC,frakkod,06,"Frakendt førerretten betinget i medfør af færdselslovens § 125, stk. 2, jf. § 128. Gældende til 150599","Frakendt førerretten betinget i medfør af færdselslovens § 125, stk. 2, jf. § 128. Gældende til 150599",,raw_soc_frakkod,medium,danish,,
SOC_frakkod_WD,SOC,frakkod,WD,Førerretsfrakendelse jf. færdsl. § 126 stk. 1 nr. 9 jf. § 125 stk. 2,Førerretsfrakendelse jf. færdsl. § 126 stk. 1 nr. 9 jf. § 125 stk. 2,,raw_soc_frakkod,medium,danish,,
SOC_frakkod_UÅ,SOC,frakkod,UÅ,Uåbnet fængsel (Closed prison),,Uåbnet fængsel (Closed prison),none|generated,medium,danish,,
SOC_frakkod_34,SOC,frakkod,34,"Indrejseforbud, Schengen","Indrejseforbud, Schengen",,raw_soc_frakkod,medium,danish,,
SOC_frakkod_BA,SOC,frakkod,BA,"Betinget førerretsfrakendelse i medf. af færdsl. § 125 stk. 1 nr. 5 jf. stk. 4. 3 overtrædelser vedr. kørehviletidsbestemmelser, mere end 30 pct. (tidl. 79)","Betinget førerretsfrakendelse i medf. af færdsl. § 125 stk. 1 nr. 5 jf. stk. 4. 3 overtrædelser vedr. kørehviletidsbestemmelser, mere end 30 pct. (tidl. 79)",,raw_soc_frakkod,medium,danish,,
SOC_frakkod_ÅC,SOC,frakkod,ÅC,"Åbent afsonining, arrestafd. (Open imprisonment, arrest dept.)",,"Åbent afsonining, arrestafd. (Open imprisonment, arrest dept.)",none|generated,medium,danish,,
SOC_frakkod_09,SOC,frakkod,09,"Frakendt førerretten betinget i medfør af færdselslovens § 126, stk. 1, jf. § 128. Gældende til 010797","Frakendt førerretten betinget i medfør af færdselslovens § 126, stk. 1, jf. § 128. Gældende til 010797",,raw_soc_frakkod,medium,danish,,
SOC_frakkod_UQ,SOC,frakkod,UQ,"Førerretsfrakendelse jf. færdsl. § 126, stk. 1, nr. 6, jf. § 128","Førerretsfrakendelse jf. færdsl. § 126, stk. 1, nr. 6, jf. § 128",,raw_soc_frakkod,medium,danish,,
SOC_frakkod_89,SOC,frakkod,89,Betinget førerretskendelse i medfør af færdselslovens § 125 stk. 2 jf. stk. 4. 3 klip begået indenfor en periode på 3 år,Betinget førerretskendelse i medfør af færdselslovens § 125 stk. 2 jf. stk. 4. 3 klip begået indenfor en periode på 3 år,,raw_soc_frakkod,medium,danish,,
SOC_frakkod_31,SOC,frakkod,31,Forbud/påbud,Forbud/påbud,,raw_soc_frakkod,medium,danish,,
SOC_frakkod_57,SOC,frakkod,57,"Betinget førerretsfrakendelse i medf. af færdsl. § 126, stk. 1, nr. 6, jf. § 128","Betinget førerretsfrakendelse i medf. af færdsl. § 126, stk. 1, nr. 6, jf. § 128",,raw_soc_frakkod,medium,danish,,
