code,prefix,database,value,description,description_da,description_da_alt,description_da_full,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level,n_occurrences,n_people,pct_people,program_group,is_primary_code
LAB_kontanthj_13_Q49,LAB,kontanthj,13_Q49,Kontanthjælp (underhold/forsørgelse) — 49/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 49/100 kvantil,,,Cash assistance (subsistence/support) — 49/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,50598,48148,0.005333,,
LAB_kontanthj_13_Q36,LAB,kontanthj,13_Q36,Kontanthjælp (underhold/forsørgelse) — 36/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 36/100 kvantil,,,Cash assistance (subsistence/support) — 36/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,61009,58025,0.006427,,
LAB_kontanthj_13_Q61,LAB,kontanthj,13_Q61,Kontanthjælp (underhold/forsørgelse) — 61/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 61/100 kvantil,,,Cash assistance (subsistence/support) — 61/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,49269,46263,0.005124,,
LAB_kontanthj_13_Q70,LAB,kontanthj,13_Q70,Kontanthjælp (underhold/forsørgelse) — 70/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 70/100 kvantil,,,Cash assistance (subsistence/support) — 70/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,48171,45149,0.005001,,
LAB_kontanthj_13_Q31,LAB,kontanthj,13_Q31,Kontanthjælp (underhold/forsørgelse) — 31/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 31/100 kvantil,,,Cash assistance (subsistence/support) — 31/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,69127,65789,0.007287,,
LAB_kontanthj_13_Q42,LAB,kontanthj,13_Q42,Kontanthjælp (underhold/forsørgelse) — 42/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 42/100 kvantil,,,Cash assistance (subsistence/support) — 42/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,53185,50709,0.005616,,
LAB_kontanthj_13_Q57,LAB,kontanthj,13_Q57,Kontanthjælp (underhold/forsørgelse) — 57/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 57/100 kvantil,,,Cash assistance (subsistence/support) — 57/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,47027,44671,0.004948,,
LAB_kontanthj_13_Q17,LAB,kontanthj,13_Q17,Kontanthjælp (underhold/forsørgelse) — 17/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 17/100 kvantil,,,Cash assistance (subsistence/support) — 17/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,122965,109699,0.01215,,
LAB_kontanthj_13_Q60,LAB,kontanthj,13_Q60,Kontanthjælp (underhold/forsørgelse) — 60/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 60/100 kvantil,,,Cash assistance (subsistence/support) — 60/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,49713,46927,0.005198,,
LAB_kontanthj_13_Q45,LAB,kontanthj,13_Q45,Kontanthjælp (underhold/forsørgelse) — 45/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 45/100 kvantil,,,Cash assistance (subsistence/support) — 45/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,52291,49906,0.005527,,
LAB_kontanthj_13_Q65,LAB,kontanthj,13_Q65,Kontanthjælp (underhold/forsørgelse) — 65/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 65/100 kvantil,,,Cash assistance (subsistence/support) — 65/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,47102,44489,0.004928,,
LAB_kontanthj_13_Q76,LAB,kontanthj,13_Q76,Kontanthjælp (underhold/forsørgelse) — 76/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 76/100 kvantil,,,Cash assistance (subsistence/support) — 76/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,50427,45908,0.005085,,
LAB_kontanthj_13_Q63,LAB,kontanthj,13_Q63,Kontanthjælp (underhold/forsørgelse) — 63/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 63/100 kvantil,,,Cash assistance (subsistence/support) — 63/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,47038,44363,0.004914,,
LAB_kontanthj_13_Q83,LAB,kontanthj,13_Q83,Kontanthjælp (underhold/forsørgelse) — 83/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 83/100 kvantil,,,Cash assistance (subsistence/support) — 83/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,70023,59285,0.006566,,
LAB_kontanthj_13_Q72,LAB,kontanthj,13_Q72,Kontanthjælp (underhold/forsørgelse) — 72/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 72/100 kvantil,,,Cash assistance (subsistence/support) — 72/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,42981,40203,0.004453,,
LAB_kontanthj_13_Q59,LAB,kontanthj,13_Q59,Kontanthjælp (underhold/forsørgelse) — 59/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 59/100 kvantil,,,Cash assistance (subsistence/support) — 59/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,49774,46604,0.005162,,
LAB_kontanthj_13_Q78,LAB,kontanthj,13_Q78,Kontanthjælp (underhold/forsørgelse) — 78/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 78/100 kvantil,,,Cash assistance (subsistence/support) — 78/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,44228,40687,0.004506,,
LAB_kontanthj_13_Q91,LAB,kontanthj,13_Q91,Kontanthjælp (underhold/forsørgelse) — 91/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 91/100 kvantil,,,Cash assistance (subsistence/support) — 91/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,46624,40287,0.004462,,
LAB_kontanthj_13_Q56,LAB,kontanthj,13_Q56,Kontanthjælp (underhold/forsørgelse) — 56/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 56/100 kvantil,,,Cash assistance (subsistence/support) — 56/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,46791,44309,0.004908,,
LAB_kontanthj_13_Q100,LAB,kontanthj,13_Q100,Kontanthjælp (underhold/forsørgelse) — 100/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 100/100 kvantil,,,Cash assistance (subsistence/support) — 100/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,32665,20266,0.002245,,
