code,prefix,database,value,description,source,confidence,language
EDU_udd_1879,EDU,udd,1879,Matematisk studenterkursus,pt_dictionaries,highest,danish
EDU_udd_1880,EDU,udd,1880,"EB, European baccalaureate",pt_dictionaries,highest,danish
EDU_udd_1889,EDU,udd,1889,Sproglig studenterkursus,pt_dictionaries,highest,danish
EDU_udd_1891,EDU,udd,1891,"1.g, pre-IB",pt_dictionaries,highest,danish
EDU_udd_1892,EDU,udd,1892,"2.g, IB år 1",pt_dictionaries,highest,danish
EDU_udd_1893,EDU,udd,1893,"3.g, IB år 2",pt_dictionaries,highest,danish
EDU_udd_1894,EDU,udd,1894,Dansk-tysk studentereksamen,pt_dictionaries,highest,danish
EDU_udd_1895,EDU,udd,1895,Dansk-Fransk Baccalauréat,pt_dictionaries,highest,danish
EDU_udd_1899,EDU,udd,1899,"IB, International baccalaureate",pt_dictionaries,highest,danish
EDU_udd_1901,EDU,udd,1901,Produktionsskole,pt_dictionaries,highest,danish
EDU_udd_1984,EDU,udd,1984,"Vuggestue mv., førskoleuddannelse",pt_dictionaries,highest,danish
EDU_udd_1985,EDU,udd,1985,"Børnehave mv., førskoleuddannelse",pt_dictionaries,highest,danish
EDU_udd_2,EDU,udd,2,Ikke igang,pt_dictionaries,highest,danish
EDU_udd_200,EDU,udd,200,1-6 år ivu,pt_dictionaries,highest,danish
EDU_udd_2003,EDU,udd,2003,"Skibskok, grundkursus",pt_dictionaries,highest,danish
EDU_udd_2004,EDU,udd,2004,Grundlæggende maritim uddannelse,pt_dictionaries,highest,danish
EDU_udd_2005,EDU,udd,2005,"Skibsassistent, grundkursus modul 1+2",pt_dictionaries,highest,danish
EDU_udd_2007,EDU,udd,2007,"Befaren matros, afslutningskursus",pt_dictionaries,highest,danish
EDU_udd_2008,EDU,udd,2008,"Befaren skibsassistent, modul 3",pt_dictionaries,highest,danish
EDU_udd_2009,EDU,udd,2009,"Befaren motormand, afslutningskursus",pt_dictionaries,highest,danish
EDU_udd_2010,EDU,udd,2010,"Skibskok, afslutningskursus",pt_dictionaries,highest,danish
EDU_udd_2013,EDU,udd,2013,Skibsassistent med metaluddannelse,pt_dictionaries,highest,danish
EDU_udd_2015,EDU,udd,2015,Kystskipper,pt_dictionaries,highest,danish
EDU_udd_2016,EDU,udd,2016,Kystskipper og fiskeskipper af 3.grad,pt_dictionaries,highest,danish
EDU_udd_2017,EDU,udd,2017,Sætteskipper og fiskeskipper af 1.grad,pt_dictionaries,highest,danish
EDU_udd_2018,EDU,udd,2018,Erhvervsfisker,pt_dictionaries,highest,danish
EDU_udd_2019,EDU,udd,2019,Færgenavigatør,pt_dictionaries,highest,danish
EDU_udd_2021,EDU,udd,2021,Sætteskipper,pt_dictionaries,highest,danish
EDU_udd_2022,EDU,udd,2022,Fiskeskipper af 3. grad,pt_dictionaries,highest,danish
EDU_udd_2027,EDU,udd,2027,Fiskeskipper af 1. grad,pt_dictionaries,highest,danish
EDU_udd_2028,EDU,udd,2028,Maritimt forberedelseskursus,pt_dictionaries,highest,danish
EDU_udd_2029,EDU,udd,2029,"Juniorofficer, 1.teoridel",pt_dictionaries,highest,danish
EDU_udd_205,EDU,udd,205,7-8 år ivu,pt_dictionaries,highest,danish
