code,prefix,database,value,description,description_da,description_en,source,confidence,language,parent_code,hierarchy_level
EDU_audd_6841,EDU,audd,6841,"Teatervidenskab og performancestudier, cand.mag.","Teatervidenskab og performancestudier, cand.mag.",,CSV:EDU_audd,medium,danish,,
EDU_audd_6628,EDU,audd,6628,"Maskinteknik, ing.prof.bach.","Maskinteknik, ing.prof.bach.",,CSV:EDU_audd,medium,danish,,
EDU_audd_4432,EDU,audd,4432,Mejerist,Mejerist,,CSV:EDU_audd,medium,danish,,
EDU_audd_4277,EDU,audd,4277,Maskinsnedker,Maskinsnedker,,CSV:EDU_audd,medium,danish,,
EDU_audd_5082,EDU,audd,5082,Multimediedesigner,Multimediedesigner,,CSV:EDU_audd,medium,danish,,
EDU_audd_4915,EDU,audd,4915,"Detail, isenkram, glas og porcelæn","Detail, isenkram, glas og porcelæn",,CSV:EDU_audd,medium,danish,,
EDU_audd_3597,EDU,audd,3597,Afsluttet studiekompetenceforløb,Afsluttet studiekompetenceforløb,,CSV:EDU_audd,medium,danish,,
EDU_audd_7188,EDU,audd,7188,"Klinisk videnskab og teknologi, cand.scient.","Klinisk videnskab og teknologi, cand.scient.",,CSV:EDU_audd,medium,danish,,
EDU_audd_7732,EDU,audd,7732,"Socialt arbejde, cand.soc.","Socialt arbejde, cand.soc.",,CSV:EDU_audd,medium,danish,,
EDU_audd_4739,EDU,audd,4739,"Sundhed, omsorg og pædagogik","Sundhed, omsorg og pædagogik",,CSV:EDU_audd,medium,danish,,
EDU_audd_5335,EDU,audd,5335,"Bygning, ing.prof.bach.","Bygning, ing.prof.bach.",,CSV:EDU_audd,medium,danish,,
EDU_audd_6536,EDU,audd,6536,"Kommunikation og digitale medier, bach.","Kommunikation og digitale medier, bach.",,CSV:EDU_audd,medium,danish,,
EDU_audd_3101,EDU,audd,3101,"Informationsvidenskab, cand.it.","Informationsvidenskab, cand.it.",,CSV:EDU_audd,medium,danish,,
EDU_audd_5481,EDU,audd,5481,"Visuel kommunikation, kreativ kommunikation, prof.bach.","Visuel kommunikation, kreativ kommunikation, prof.bach.",,CSV:EDU_audd,medium,danish,,
