code,prefix,database,value,description,description_da,description_da_alt,description_da_full,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level
LAB_lejev_egen_bolig_Q18,LAB,lejev,egen_bolig_Q18,Beregnet lejeværdi af egen bolig — 18/100 kvantil,Beregnet lejeværdi af egen bolig — 18/100 kvantil,,,Imputed rental value of own dwelling — 18/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
LAB_lejev_egen_bolig_Q34,LAB,lejev,egen_bolig_Q34,Beregnet lejeværdi af egen bolig — 34/100 kvantil,Beregnet lejeværdi af egen bolig — 34/100 kvantil,,,Imputed rental value of own dwelling — 34/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
LAB_lejev_egen_bolig_Q12,LAB,lejev,egen_bolig_Q12,Beregnet lejeværdi af egen bolig — 12/100 kvantil,Beregnet lejeværdi af egen bolig — 12/100 kvantil,,,Imputed rental value of own dwelling — 12/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
LAB_lejev_egen_bolig_Q19,LAB,lejev,egen_bolig_Q19,Beregnet lejeværdi af egen bolig — 19/100 kvantil,Beregnet lejeværdi af egen bolig — 19/100 kvantil,,,Imputed rental value of own dwelling — 19/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
LAB_lejev_egen_bolig_Q9,LAB,lejev,egen_bolig_Q9,Beregnet lejeværdi af egen bolig — 9/100 kvantil,Beregnet lejeværdi af egen bolig — 9/100 kvantil,,,Imputed rental value of own dwelling — 9/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
LAB_lejev_egen_bolig_Q36,LAB,lejev,egen_bolig_Q36,Beregnet lejeværdi af egen bolig — 36/100 kvantil,Beregnet lejeværdi af egen bolig — 36/100 kvantil,,,Imputed rental value of own dwelling — 36/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
LAB_lejev_egen_bolig_Q75,LAB,lejev,egen_bolig_Q75,Beregnet lejeværdi af egen bolig — 75/100 kvantil,Beregnet lejeværdi af egen bolig — 75/100 kvantil,,,Imputed rental value of own dwelling — 75/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
LAB_lejev_egen_bolig_Q74,LAB,lejev,egen_bolig_Q74,Beregnet lejeværdi af egen bolig — 74/100 kvantil,Beregnet lejeværdi af egen bolig — 74/100 kvantil,,,Imputed rental value of own dwelling — 74/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
LAB_lejev_egen_bolig_Q69,LAB,lejev,egen_bolig_Q69,Beregnet lejeværdi af egen bolig — 69/100 kvantil,Beregnet lejeværdi af egen bolig — 69/100 kvantil,,,Imputed rental value of own dwelling — 69/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
LAB_lejev_egen_bolig_Q82,LAB,lejev,egen_bolig_Q82,Beregnet lejeværdi af egen bolig — 82/100 kvantil,Beregnet lejeværdi af egen bolig — 82/100 kvantil,,,Imputed rental value of own dwelling — 82/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
