code,prefix,database,value,description,description_da,description_da_alt,description_da_full,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level
LAB_arblhumv_Q79,LAB,arblhumv,Q79,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 79/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 79/100 kvantil,,,Unemployment benefits and training allowance — 79/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q39,LAB,arblhumv,Q39,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 39/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 39/100 kvantil,,,Unemployment benefits and training allowance — 39/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q23,LAB,arblhumv,Q23,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 23/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 23/100 kvantil,,,Unemployment benefits and training allowance — 23/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q43,LAB,arblhumv,Q43,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 43/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 43/100 kvantil,,,Unemployment benefits and training allowance — 43/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q55,LAB,arblhumv,Q55,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 55/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 55/100 kvantil,,,Unemployment benefits and training allowance — 55/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q49,LAB,arblhumv,Q49,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 49/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 49/100 kvantil,,,Unemployment benefits and training allowance — 49/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q78,LAB,arblhumv,Q78,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 78/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 78/100 kvantil,,,Unemployment benefits and training allowance — 78/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q1,LAB,arblhumv,Q1,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 1/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 1/100 kvantil,,,Unemployment benefits and training allowance — 1/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q3,LAB,arblhumv,Q3,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 3/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 3/100 kvantil,,,Unemployment benefits and training allowance — 3/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q8,LAB,arblhumv,Q8,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 8/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 8/100 kvantil,,,Unemployment benefits and training allowance — 8/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q24,LAB,arblhumv,Q24,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 24/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 24/100 kvantil,,,Unemployment benefits and training allowance — 24/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q25,LAB,arblhumv,Q25,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 25/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 25/100 kvantil,,,Unemployment benefits and training allowance — 25/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
