code,title,level
3010,"International virksomhedskommunikation i spansk, bach.",3
3011,"Internat. virksomhedskommunik., tysk og medier, bach.",3
3012,"International virksomhedskommunikation tysk, bach.",3
3013,"Internat. virksomhedskommunikation, engelsk og IT, bach.",3
3014,"International virksomhedskommunikation i fransk, bach.",3
3015,"Internat. virksomhedskommunikation, spansk og IT, bach.",3
3016,"Internat. virksomhedskommunikation, tysk og IT, bach.",3
3017,"International virksomhedskommunikation, sproglig og kulturel formidling, bach.",3
3018,"International virksomhedskommunikation i 2 fremmedsprog, bach.",3
3019,"Softwareteknologi, ing.bach.",3
3020,"Moderne tysklandsstudier,master",3
3021,"International Relations, cand.soc",3
3022,"International erhvervsøkonomi med fremmedsprog, dansk og engelsk, bach.",3
3023,"Erhvervsøkonomi-erhvervssprog, engelsk og spansk,bach.int.",3
3024,"Business, Language and Culture, cand.merc.int.",3
3025,"Business, Asian Language and Culture, bach.",3
3026,"Business, Language and Culture, bach.",3
3027,"Maskinkonstruktion, ing.bach.",3
3028,"Mechanical Design, cand.polyt.",3
3029,"Arkitektur og design, cand.polyt.",3
3030,"Sundheds-IT, master",3
3031,"Virksomhedskommunikation,cand.ling.merc.",3
3032,"Lingvistik, bach.",3
3033,"Sprogvidenskab-lingvistik, cand.mag.",3
3034,"Arabisk- og islamstudier, bach.",3
3035,"Arabisk- og islamstudier, cand.mag.",3
3036,"HA (int.) erhvervsøkonomi med fransk,bach.",3
3037,"HA (int.)erhvervsøkonomi med spansk,bach.",3
3038,"HA (int.)erhvervsøkonomi med engelsk,bach.",3
3039,"Spansk og spanskamerikansk sprog, litteratur og kultur, bach.",3
3040,"Journalistik, cand.mag.",3
3041,"Spansk og latinamerikansk sprog og kultur, bach.",3
3042,"Food Science and Technology, cand.tech.al.",3
3043,"Designer - Industrielt design og Accessory, bach.",3
3044,"Amu.adm, administrative funktioner i HR",3
3045,"Biokemi, bach.",3
3046,"Akvatisk miljøbiologi, cand.scient.",3
3047,"Engineering (Sustainable Fisheries and Aquaculture), cand.polyt.",3
3048,"Biologisk oceanografi, cand.scient.",3
3049,"Biomedicinsk teknik, cand.scient.med.",3
3050,"Biosystemteknologi, cand.scient.tech.",3
3051,"Bioteknologi, master",3
3052,"Bæredygtig energi, cand.scient.tech.",3
3053,"Eksperimentel biologi,bach.",3
3054,"Eksperimentel biologi, cand.scient.",3
3055,"International erhvervsøkonomi med fremmedsprog, engelsk og tysk, bach.",3
3056,"Kemi, miljø og bioteknologi, ingeniør bach.",3
3057,"Kemi, miljø og bioteknologi, cand.scient.tech.",3
3058,"Molekylærbiologi, cand.scient.",3
3059,"Systembiologi,cand.polyt.",3
3060,"Systembiologi, cand.scient.tech.",3
3061,"Digital Communication Leadership, cand.it.",3
3062,"Audiologi, bach.",3
3063,"Audiologi, cand.mag.",3
3064,"Logopædi, bach.",3
3065,"Pædagogisk audiologi, bach.",3
3066,"Brasilianske studier, bach.",3
