SEKVENS;KODE;NIVEAU;TITEL;GENERELLE_NOTER;INKLUDERER;INKLUDERER_OGSÅ;EKSKLUDERER;PARAGRAF;MÅLEENHED
476;"833";3;Arbejde med andre mobile maskiner og køretøjer;;;;;;
477;"8331";4;Landbrugsmaskinførerarbejde;;"Traktorfører ";;;;
478;"8332";4;Entreprenørmaskinførerarbejde;;"Gravemester, maskinfører ";;;;
479;"8333";4;Kran- og liftførerarbejde;;"Kranfører ";;;;
480;"8334";4;Truckførerarbejde;;"Truckfører ";;;;
481;"834";3;Skibstransportarbejde;;;;;;
482;"8340";4;Skibstransportarbejde;;Matros, skibsassistent (Havnearbejder: 9330);;;;
483;"9";1;Andet arbejde;"Hovedgruppe 9 omfatter arbejde, der ikke indeholdes i de øvrige hovedgrupper. Personer klassificeret i denne hovedgruppe udfører hovedsageligt ukomplicerede manuelle arbejdsopgaver, der i almindelighed blot kræver en kortvarig instruktion på arbejdsstedet.

Som eksempel på arbejdsopgaver i denne hovedgruppe kan nævnes rengøringsarbejde, budtjeneste, vagtarbejde samt pakke- og transportarbejde uden brug af maskiner. Nævnes bør også medhjælpsarbejde inden for landbrug, jagt og fiskeri.

I hovedgruppen klassificeres personer med fagbetegnelser som eksempelvis rengøringsassistent, bud, renovationsarbejder, frugtplukker, skovarbejder, fiskesorterer og havnearbejder.";;;;;
484;"91";2;Rengørings- og renovationsarbejde, bud- og vagttjeneste samt telefon- og dørsalg med videre;;;;;;
485;"911";3;Salgs- og servicearbejde primært ved telefon;;;;;;
486;"9113";4;Salgs- og servicearbejde primært ved telefon;;Interviewer, telefonsælger;;;;
487;"912";3;Arbejde med skopudsning og lignende former for gadeservice;;;;;;
488;"9120";4;Arbejde med skopudsning og lignende former for gadeservice;;Skopudser;;;;
489;"913";3;"Rengørings- og køkkenhjælpsarbejde ";;;;;;
490;"9131";4;Rengørings- og køkkenhjælpsarbejde i private hjem;;Hushjælp;;;;
491;"9132";4;Rengørings- og køkkenhjælpsarbejde i øvrigt;;Cafeteriaarbejder, hospitalsassistent, køkkenmedhjælper, opvasker, rengøringsassistent, sanitør;;;;
492;"9133";4;Vaskeri- og renseriarbejde;;Linnedassistent, renseriarbejder, vaskeriarbejder;;;;
493;"914";3;Arbejde med bygningsrengøring og vinduespolering;;;;;;
494;"9141";4;Tilsyns-, vicevært- og pedelarbejde;;Ejendomsfunktionær, halarbejder, kasernearbejder, kirkepedel, vicevært (Varmemester: 8162);;;;
495;"9142";4;Bil- og vinduespolerarbejde;;Vinduespudser, vognvasker;;;;
496;"915";3;Budtjeneste, vagtarbejde samt arbejde med måleraflæsning med videre;;;;;;
497;"9151";4;Budtjeneste og lignende;;Bud, omdeler, piccolo (Postbud: 4142);;;;
498;"9152";4;Vagtarbejde;;Dørvogter, garderobeassistent, nattevagt, portner (Vægter: 5169);;;;
499;"9153";4;Arbejde med måleraflæsning, automattømning med videre;;Automatpasser, måleraflæser, parkometerkontrollør;;;;
500;"916";3;Renovations-, gadefejningsarbejde og lignende, eksklusive kørsel af renovationsvogne;;;;;;
501;"9161";4;Renovationsarbejde, eksklusive kørsel af renovationsvogne;;Renovationsarbejder;;;;
502;"9162";4;Arbejde med gadefejning, snerydning og lignende;;Gadefejer, kloakarbejder;;;;
503;"92";2;Medhjælp inden for landbrug, gartneri, fiskeri og skovbrug;;;;;;
504;"921";3;Medhjælp inden for landbrug, gartneri, fiskeri og skovbrug;;;;;;
505;"9211";4;Landbrugs- og gartnerimedhjælperarbejde;;;;;;
506;"9212";4;Medhjælp ved skovbrug;;Plantagearbejder, skovhugger (Skovløber: 6141);;;;
507;"9213";4;Medhjælp i fiskerierhverv (på land) samt medhjælp ved jagt og lignende;;Dambrugsarbejder, fiskerimedhjælper (Fisker: 6152, fiskesorterer: 9320, skytte: 6154);;;;
508;"93";2;Manuelt arbejde inden for bygge- og anlægssektoren, transportsektoren samt fremstillingsvirksomhed;;;;;;
509;"931";3;Manuelt arbejde inden for bygge- og anlægssektoren;;;;;;
510;"9311";4;Manuelt arbejde med grus og sten;;Grusgravarbejder, stenarbejder, stenfisker (Minør: 7112, stenhugger: 7113);;;;
511;"9312";4;Jord- og kloakarbejde samt andet anlægsarbejde;;Asfaltarbejder, brolæggermedhjælper, jernbinder, kabelarbejder, kloakmester, vejarbejder (Brolægger: 7122, kabelmontør: 7245);;;;
512;"9313";4;Medhjælp ved bygningsarbejde;;Bygningsarbejder, malermedhjælper, murerarbejdsmand (Isoleringsarbejder: 9312, murersvend: 7122, tømrersvend: 7124);;;;
513;"932";3;Manuelt arbejde inden for fremstillingsvirksomhed;;;;;;
514;"9320";4;Manuelt arbejde inden for fremstillingsvirksomhed;;Fiskesorterer, pakkeriassistent, skyller;;;;
515;"933";3;Manuelt transport- og lagerarbejde, hvor der ikke anvendes maskiner eller køretøjer;;;;;;
516;"9330";4;Manuelt transport- og lagerarbejde, hvor der ikke anvendes maskiner eller køretøjer;;Afbærer, depotarbejder, flaskedreng, flyttearbejder, havnearbejder, lagerarbejder, læssemand;;;;
517;"0";1;Militært arbejde;"Hovedgruppe 0 omfatter al militært arbejde, som udføres af det personel, der gør tjeneste i militæret - hvad enten dette sker på frivillig eller obligatorisk basis. Typiske fagbetegnelser er kadet, konstabel, sergent, oberst og lignende i hær, søværn og flyvevåben.

Ligesom det er tilfældet i Danmarks Statistiks branchenomenklatur, Dansk Branchekode 1993 (DB93), klassificeres forsvar og civilforsvar i samme hovedgruppe.

Kontor-, håndværks- og rengøringsarbejde, der udføres af civilt ansatte personer, er indeholdt i andre hovedgrupper.";;;;;
518;"01";2;Militært arbejde;;;;;;
519;"011";3;Militært arbejde;;;;;;
520;"0110";4;Militært arbejde;;Kadet, konstabel, oberst, sergent;;;;
